n|j|name|type|date|title|org|geo|freq|resources|tags|author|email|orgh|licID|lictitle|notes
541|3|lists-permit-holders-for-the-provision-of-large-scale-post|dataset|2022-01-19|רשימות בעלי היתרים למתן שירותי דואר כמותי|tikshoret|No|NA|3|3|--|AdiN@moc.gov.il|משרד התקשורת|other-open|Other (Open)|ביום ב' בשבט תשס"ו (31 בינואר 2006) נכנס לתוקפו היתר כללי למתן שירותי דואר כמותי לפי סעיף 1ג' לחוק הדואר התשמ"ו - 1986: ופורסם בילקוט הפרסומים 5487 התשס"ו, בעמ' 1466.ההיתר מאפשר לתת שירותי איסוף, העברה, חלוקה או מסירה בישראל של דואר כמותי. כעקרון, דואר כמותי הינו דואר עיסקי המוגבל בכמות מינימלית בכל משלוח ומוגדר בתקנות הדואר (תשלומים בעד שירותי החברה לפי סעיף 37 (א) ו  -(ג) לחוק), 2007.דואר כמותי - הינו דואר עיסקי של מכתבים רגילים (בדרך כלל). לדוגמא משלוח של פרוט עסקאות בכרטיס אשראי, חשבונות (חשמל לדוגמא), מועדון לקוחות וכדומה.על מנת שמשלוח דואר יוכר כדואר כמותי עליו לעמוד במספר תנאים, בין היתר: המשלוח מעל 1000 ד"ד (דברי דואר) במשלוח דואר לא ממוין, 10,000 במשלוח דואר ממוין ו3,000 ד"ד (דברי דואר) בדואר שמוגדר חריג (גדול)."המשלוח מעל 1000 ד"ד (דברי דואר)  - בכל משלוח של מכתבים צריך שיהיו לפחות 1000 מכתבים באוגד המכתבים שרוצים לשלוח."דואר לא ממויין" - המכתבים יכולים להיות ממוינים לפי מיקוד או שלא, דבר אשר משפיע על מחיר המשלוח. אם הדואר לא ממוין, התעריף גבוה יותר."דואר ממויין" - כל המכתבים ממוינים לפי סדר המיקוד. כאמור, אם יהיו ממוינים לפי מיקוד מחיר המשלוח יהיה נמוך יותר אולם בכל משלוח צריך שיהיו לפחות 10000 מכתבים.לחוק הדואר - התשמ"ו 1986 ולתקנות הדואר (תשלומים בעד שירותי החברה לפי סעיף 37(א) ו - (ג) לחוק), התשס"ח-2007.https://www.gov.il/he/departments/legalInfo/post_lawלהגשת בקשה לקבלת היתר למתן שירות כמותי:.https://www.gov.il/he/service/mass_mail_delivery_licenseנוסח הרישיון:.https://www.gov.il/he/Departments/policies/post_license
542|0|local-authorities|dataset|2022-07-17|דוחות מבוקרים של הרשויות המקומיות לפי שנים|interior_affairs|No|NA|2|6|--|GiliNa@moin.gov.il|משרד הפנים|cc-by|Creative Commons Attribution|דוחות כספיים מבוקרים של כל סוגי הרשויות המקומיות המבוצעים על-ידי אגף בכיר לביקורת ברשויות - משרד הפנים.
543|0|localauthorities2017|dataset|2020-06-09|הרשויות המקומיות בישראל 2017|lamas|No|NA|1|3|--|sarip@cbs.gov.il|הלשכה המרכזית לסטטיסטיקה|cc-by|Creative Commons Attribution|בקובץ הרשויות המקומיות בישראל 2017 מוצגים נתונים ל-255 הרשויות המקומיות בישראל (77 עיריות, 124 מועצות מקומיות ו-54 מועצות אזוריות).
544|0|localauthorities2018|dataset|2020-11-11|הרשויות המקומיות בישראל 2018|lamas|Yes|Year|1|8|--|sarip@cbs.gov.il|הלשכה המרכזית לסטטיסטיקה|other-open|Other (Open)|בקובץ הרשויות המקומיות בישראל 2017 מוצגים נתונים ל-255 הרשויות המקומיות בישראל (77 עיריות, 124 מועצות מקומיות ו-54 מועצות אזוריות).המידע המוצג כולל נתונים פיזיים ונתונים כספיים של הרשויות המקומיות בנושאים: דמוגרפיה, חינוך, רווחה, תשתיות, תחבורה, בנייה, מים, דירוג הרשויות לפי מדדים שונים ועוד. הנתונים מוצגים ברמת הרשות המקומית, סיכומים לפי מעמד מוניציפלי וסיכום כלל-ארצי.
545|0|local_council|dataset|2022-07-17|דוחות כספיים מבוקרים - מועצות אזוריות|interior_affairs|No|NA|9|6|--|drored@moin.gov.il|משרד הפנים|||דוחות כספיים מבוקרים של הרשויות המקומיות (מועצות אזוריות ומועצות מקומיות) המבוצעים על-ידי אגף בכיר לביקורת ברשויות - משרד הפנים.
546|0|local-council-1|dataset|2022-07-17|דוחות כספיים מבוקרים - מועצות מקומיות|interior_affairs|No|NA|12|6|--|drored@moin.gov.il|משרד הפנים|||דוחות כספיים מבוקרים של הרשויות המקומיות (מועצות מקומיות) המבוצעים על-ידי אגף בכיר לביקורת ברשויות - משרד הפנים.
547|0|lod|dataset|2020-06-11|תצלום אויר 2015 2 מטר - גליון לוד|israel_mapping_center|No|NA|1|0|--|yaron@mapi.gov.il|המרכז למיפוי ישראל|||1.תאריך עדכון: 01/11/17 2.השימוש בנתונים באחריות המשתמש בלבד.3.הנתונים מתעדכנים מעת לעת, ולכן בדיקת עדכניותם היא באחריות המשתמש.
548|0|longtermforecast_rain|dataset|2021-10-13|נתונים חזויים- גשם|meteorological_service|No|NA|61|0|--|abramoviche@ims.gov.il|השירות המטאורולוגי|other-open|Other (Open)|נתוני גשם יומי חזויים ל- 60 תחנות. בכל קובץ נתונים לשנים 2100-2006 מתוך ריצות של -15 מודלים אזוריים לשני תרחישי ייחוס.
549|0|lrt_line|dataset|2022-07-06|קווי רכבת קלה|ministry_of_transport|Yes|NotConstant|4|7|--|pinusi@mot.gov.il|משרד התחבורה והבטיחות בדרכים|cc-by|Creative Commons Attribution|קווי רכבת קלה, קיימים ומתוכננים, בפריסה ארצית
550|0|lrt_stat|dataset|2022-07-06|תחנות רכבת קלה|ministry_of_transport|Yes|NotConstant|4|7|--|pinusi@mot.gov.il|משרד התחבורה והבטיחות בדרכים|cc-by|Creative Commons Attribution|תחנות רכבת קלה, קיימות ומתוכננות, בפריסה ארצית
551|0|lrt_strat_plan|dataset|2020-11-02|הסעת המונים - תכנית אסטרטגית 2040|ministry_of_transport|No|NA|4|5|--|pinusi@mot.gov.il|משרד התחבורה והבטיחות בדרכים|cc-by|Creative Commons Attribution|רשת הסעת המונים (רק"ל, BRT, מטרו) במטרופולין תל אביב כפי שתוכננה בתכנית האסטרטגית לשנת 2040
552|0|maale|dataset|2022-08-07|מאגר החלטות בית הדין לעניין שירות התעסוקה-קורונה|ministry_of_justice|No|NA|1|3|--|yehudakat@justice.gov.il|משרד המשפטים|other-open|Other (Open)|במאגר זה ניתן לערוך חיפוש לפי מספר שדות. המאגר מכיל החלטות שניתנו על ידי דייני בית הדין ומתעדכן אוטומטית, מספר שעות לאחר הינתן ההחלטה.                      מומלץ להזין כמה שיותר פרטים בשדות החיפוש, זאת כדי להגיע לתוצאה האופטימאלית
553|0|maaleadumimpublicbuildings|dataset|2021-03-21|מיבני ציבור|maaleedumim|No|NA|1|4|--|mokdan@mam.org.il|עיריית מעלה אדומים|other-open|Other (Open)|רשימת מיבני ציבור במעלה אדומים
554|0|mactzavot|dataset|2021-03-21|מחצבות|maaleedumim|No|NA|1|2|--|mokdan@mam.org.il|עיריית מעלה אדומים|other-open|Other (Open)|רשימת מחצבות במעלה אדומים
555|0|madbirim|dataset|2022-09-08|מדבירים מורשים|ministry_of_the_environment|No|Times in day|1|5|--|MeravD@sviva.gov.il|המשרד להגנת הסביבה|||המאגר מכיל את כלל המדבירים המורשים בישראל, אשר עברו הסמכה וקיבלו רישיון ממשרד להגנת הסביבה.במאגר ניתן למצוא את פרטי המדביר, תוקף הרישיון וסוג הרישיון. את המאגר המעודכן ביותר ניתן למצוא באתר המשרד : https://www.gov.il/he/Departments/dynamiccollectors/madbirim
556|0|maflasmultiannual|dataset|2022-08-25|מפל"ס - נתונים רב שנתיים|ministry_of_the_environment|No|Year|1|2|--|arielt@sviva.gov.il|המשרד להגנת הסביבה|cc-by|Creative Commons Attribution|המפל"ס הוא מרשם הפליטות והעברות לסביבה של מפעלים. באמצעות השכבה הגיאוגרפית ניתן לראות נתונים על פליטת חומרים מזהמים לסביבה, על הזרמת שפכים ממפעלים למתקני טיהור שפכים ועל העברות של פסולת לטיפול או לסילוק. הנתונים המפורסמים לציבור הם נתונים שהמפעלים עצמם דיווחו למשרד להגנת הסביבה, מכוח חוק הגנת הסביבה (פליטות והעברות לסביבה - חובות דיווח ומרשם), התשע"ב - 2012 ("חוק הגנת הסביבה").
557|0|maflasmultiannualforzover|dataset|2022-08-25|מפל"ס - רשימת מפעלים|ministry_of_the_environment|No|Year|2|2|--|baruchb@sviva.gov.il|המשרד להגנת הסביבה|cc-by|Creative Commons Attribution|מפל"ס הוא מרשם הפליטות והעברות לסביבה. מאגר זה מציג נתונים רק של מפעלים (מאגר עבור צובר).באמצעות השכבה הגיאוגרפית ניתן לראות נתונים על פליטת חומרים מזהמים לסביבה, על הזרמת שפכים ממפעלים למתקני טיהור שפכים ועל העברות של פסולת לטיפול או לסילוק. הנתונים המפורסמים לציבור הם נתונים שהמפעלים עצמם דיווחו למשרד להגנת הסביבה, מכוח חוק הגנת הסביבה (פליטות והעברות לסביבה - חובות דיווח ומרשם), התשע"ב - 2012 ("חוק הגנת הסביבה").
558|0|mahirlair_city|dataset|2022-01-23|מהיר לעיר עירוני|ministry_of_transport|No|NA|4|6|--|pinusi@mot.gov.il|משרד התחבורה והבטיחות בדרכים|cc-by|Creative Commons Attribution|שלב א לפרויקט מהיר לעיר עירוני - רשת נתיבי העדפה עירוניים במטרופולין תל אביב
559|0|mahirlair_intercity|dataset|2021-03-07|מהיר לעיר בינעירוני|ministry_of_transport|No|NA|4|6|--|pinusi@mot.gov.il|משרד התחבורה והבטיחות בדרכים|cc-by|Creative Commons Attribution|רשת נתיבי העדפה בינעירוניים במטרופולין תל אביב
560|0|mahozot|dataset|2020-07-09|מחוזות המשרד להגנת הסביבה|ministry_of_the_environment|Yes|NA|2|1|--|pniot@sviva.gov.il|המשרד להגנת הסביבה|||תיחום גיאוגרפי של מחוזות המשרד להגנת הסביבה. לשמות המחוזות ודרכי פניה אליהם - חפשו במנוע חיפוש "יחידות המשרד להגנת הסביבה"
561|0|mamtziim_patents|dataset|2022-09-07|ממציאים לבקשות פטנטים|ministry_of_justice|No|Day|1|3|--|yehudakat@justice.gov.il|משרד המשפטים|cc-by|Creative Commons Attribution|שמות ממציאים לבקשות להגנה ישראלית על פטנט
562|0|mandatory-standards|dataset|2022-09-08|מאגר תקנים רשמיים|moital|No|Times in day|1|2|--|israel.vaks@economy.gov.il|משרד הכלכלה והתעשייה|other-open|אחר (פתוח)|רשימת התקנים הרשמיים בישראל. הרשימה כוללת תקנים רשמיים המצויים בתוקף בלבד.
563|0|manpowerconstructors|dataset|2022-09-06|רשימת קבלני כח אדם מורשים|labor|No|Day|1|5|--|lior.kalmovich@labor.gov.il|זרוע העבודה|other-open|אחר (פתוח)|פרטי קבלני כח אדם מורשים כולל מורשה, כתובת ועוד.
564|0|marks|dataset|2022-08-07|סימני מסחר כוללי דמות|ministry_of_justice|No|NA|1|1|--|yehudakat@justice.gov.il|משרד המשפטים|cc-by|Creative Commons Attribution|
565|0|mashkonot|dataset|2022-09-07|רשם המשכונות|ministry_of_justice|No|Day|2|3|--|yehudakat@justice.gov.il|משרד המשפטים|cc-by|Creative Commons Attribution|רשימת משכונות כמפורט במאגר רשם המשכונות, הרשימה כוללת משכונות פעילים ומשכונות שבוטלו בשנתיים האחרונות, ובכלל זה את הנתונים הבאים: תאריך רישום, תאריך סטטוס, תאריך צירוף הנכס למשכון, תאריך הסרת הנכס מהמשכון, וסיבת סטטוס.
566|0|mashlima2023|dataset|2021-04-26|HOV נתיבים רבי תפוסה - תכנית משלימה 2023|ministry_of_transport|Yes|NotConstant|5|8|--|pinusi@mot.gov.il|משרד התחבורה והבטיחות בדרכים|cc-by|Creative Commons Attribution|תכנית משלימה לנתיבים רבי תפוסה במטרופולין תל אביב לשנת 2023
567|0|mataan_ashkelon|dataset|2021-08-03|הסעת המונים נפת אשקלון 2040|ministry_of_transport|Yes|NotConstant|4|9|--|pinusi@mot.gov.il|משרד התחבורה והבטיחות בדרכים|other-open|Other (Open)|תכנית אסטרטגית להסעת המונים ותחבורה ציבורית בנפת אשקלון לשנת 2040
568|0|mataan_hdr_ntn|dataset|2022-05-11|הסעת המונים חדרה נתניה - 2050|ministry_of_transport|No|NA|4|0|--|GOLDO@MOT.GOV.IL|משרד התחבורה והבטיחות בדרכים|other-open|Other (Open)|תכנית אסטרטגית להסעת המונים ותחבורה ציבורית למרחב נתניה-חדרה רבתי, לשנת יעד 2050.
569|0|matash|dataset|2020-07-09|מכוני טיהור שפכים - מט"ש|ministry_of_the_environment|No|NA|1|4|--|alexey@sviva.gov.il|המשרד להגנת הסביבה|||מאגר המכיל מידע אודות כלל מכוני טיהור שפכים בישראל (מט"ש). פרטי המכונים, דוחות שנתיים וכו'
570|0|max_discharge|dataset|2022-04-07|ספיקות שיא שנתיות בתחנות הידרומטריות (מטר קוב לשניה)|water_authority|No|NA|1|4|--|Inf_datagov@water.gov.il|הרשות הממשלתית למים ולביוב|other-open|Other (Open)|ספיקות שיא שנתיות (ספיקה רגעית מקסימלית שנתית) חושבו עבור תחנות ההידרומטריות בנחלים וסווגו לפי שנים הידרולוגיות.
571|0|maxdischarge_yearlyvolume|dataset|2022-06-13|תחנות - ספיקות שיא ונפחים שנתיים|water_authority|No|Year|1|6|--|Inf_datagov@water.gov.il|הרשות הממשלתית למים ולביוב|other-open|Other (Open)|מאגר המידע מכיל נתוני ספיקה מרבית שנתית (ספיקה רגעית מקסימלית שנתית, ביחידות מ"ק/שניה)ונתוני נפח שנתי (ביחידות מלמ"ק) שחושבו עבור תחנות ההידרומטריות בנחלים וסווגו לפי שנים הידרולוגיות.
572|0|max_min_longtermforecast|dataset|2021-11-01|נתונים חזויים- טמפרטורות מינימום ומקסימום|meteorological_service|No|NA|27|1|--|meirn@ims.gov.il|השירות המטאורולוגי|other-open|Other (Open)|מודלים חזויים ל- 26 תחנות לתקופה: 2100-2006. המדדים החזויים הם: טמפ' מקס' וטמפ' מיני'. לכל תחנה הורצו 12 מודלים אזוריים ושני תרחישי יחוס עתידיים.
573|0|mazon|dataset|2022-08-31|רשימת מוצרי מזון וחומרי גלם מיובאים|rabanot|No|Week|1|9|--|mordis@rab.gov.il|הרבנות הראשית לישראל|other-open|אחר (פתוח)|רשימת מוצרי מזון וחומרי גלם מיובאים המאושרים על ידי הרבנות הראשית לישראל
574|0|mdn-status|dataset|2020-12-16|רשימת מדינות|ministry_of_exterior|No|NA|1|3|--|illan@mfa.gov.il|משרד החוץ|||רשימת מדינות וסטטוס יחסים עם ישראל
575|0|measlescoverage|dataset|2020-07-09|כיסוי חיסוני החצבת|ministry-health|No|NA|1|6|--|oren.sade@moh.gov.il|משרד הבריאות|cc-by|Creative Commons Attribution|אחוזי כיסוי חיסוני כנגד חצבת לפי יישוב ושנת לימודים של כיתות א'
576|0|mechir-lamishtaken|dataset|2022-09-09|נתונים תקופתיים - תכנית דירה בהנחה|ministry_of_housing|No|Times in day|3|5|--|internetmoch@moch.gov.il|משרד הבינוי והשיכון|||במאגר זה מתפרסמים נתונים סטטיסטיים תקופתיים בנושא תכנית דירה בהנחה.קישור לדף נתונים סטטיסטיים שבועיים נוספים:https://www.gov.il/he/Departments/publications/reports/mishtaken_statistics
577|0|mef|dataset|2020-07-09|תצלום אויר 2015 2 מטר - גליון מעלה אפרים|israel_mapping_center|No|NA|1|0|--|yaron@mapi.gov.il|המרכז למיפוי ישראל|||1.תאריך עדכון: 01/11/17 2.השימוש בנתונים באחריות המשתמש בלבד.3.הנתונים מתעדכנים מעת לעת, ולכן בדיקת עדכניותם היא באחריות המשתמש.
578|0|mehir_yevuan|dataset|2022-09-09|יבואנים ומחירוני רכב חדש|ministry_of_transport|No|Day|1|4|--|bidata@mot.gov.il|משרד התחבורה והבטיחות בדרכים|other-open|אחר (פתוח)|מאגר זה מציג את מחירי דגמי כלי רכב חדשים לפי יבואן כפי שנמסר ע"י היבואן. מחירי דגמי כלי רכב חדשים מתעדכנים עם קבלת המידע מהיבואן. מחירי כלי הרכב של דגמים ממשיכים מתעדכנים פעם בשנה.
579|0|membership-in-liquidation|dataset|2022-09-07|חברות בפרוק מרצון בהליך מזורז|ministry_of_justice|No|Day|1|1|--|yehudakat@justice.gov.il|משרד המשפטים|cc-by|Creative Commons Attribution|הקובץ מכיל את רשימת החברות הרשומות במרשם שמנהל רשם החברות אשר הגישו בקשה לפירוק מרצון בהליך מזורז. אם לא תוגש התנגדות לבקשה בתוך 90 יום ממועד אישור הגשת הבקשה לרשם החברות, החברה תחוסל. להנחיות להגשת התנגדות לחצו כאן. הקובץ כולל את מספר התאגיד, שם התאגיד, שם התאגיד באנגלית, סוג התאגיד, סטטוס התאגיד, תת סטטוס התאגיד, מועד אישור בקשת הפירוק מרצון בהליך מזורז, מועד החיסול הצפוי אם לא תוגש התנגדות, מפרה וכתובת.
580|0|mentalhealthclinics|dataset|2022-07-24|מרפאות בריאות הנפש - משרד הבריאות|ministry-health|No|NA|1|6|--|eszter.somos@moh.gov.il|משרד הבריאות|||רשימת מרפאות בריאות הנפש בקהילה, עבור כל מרפאה מצוינים השירותים שניתנים בה. זמני ההמתנה נכונים לחודשים ינואר - פברואר 2018.מידע נוסף אודות מרפאות בריאות הנפש באתר משרד הבריאות: https://www.health.gov.il/Subjects/mental_health/treatment/clinics/Pages/mental-clinics.aspx
581|0|meonotyommaaleadumim|dataset|2021-03-21|מעונות יום|maaleedumim|No|Year|1|3|--|mokdan@mam.org.il|עיריית מעלה אדומים|other-open|Other (Open)|רשימת מעונות יום במעלה אדומים
582|0|merchav_tichnun|dataset|2022-05-25|מרחבי תכנון|iplan|No|NA|1|5|--|it-tichnun@iplan.gov.il|מינהל התכנון |other-open|Other (Open)|מרחב תכנון - בתחום זה, הנקבע ע"י שר האוצר,  חלה סמכות הוועדה המקומית לתכנון ובניה. יש להבחין בין מרחב תכנון מקומי החופף לשטח של רשות מקומית אחת לבין מרחב תכנון מרחבי הכולל מס' רשויות.
583|0|merhavironi|dataset|2021-08-05|מרחבים עירוניים|ministry_of_transport|Yes|NotConstant|4|5|--|pinusi@mot.gov.il|משרד התחבורה והבטיחות בדרכים|other-open|Other (Open)|שכבה גאוגרפית במסגרת מסמך הנחיות לתכנון ותפעול שירות תחבורה ציבורית באוטובוסים.
584|0|metachnenim|dataset|2022-09-01|רשימת מתכננים ומודדים|ministry_of_housing|No|Month|2|5|--|moch1993@moch.gov.il|משרד הבינוי והשיכון|||במאגר זה רשומים מתכננים, מודדים ובעלי מקצוע אחרים, והוא כולל מידע על התמחויות מקצועיות של בעלי המקצוע וכן פרטי התקשרות עמם.
585|0|metadata|dataset|2022-06-02|מערך נתונים הומוגניים|meteorological_service|No|NA|4|3|--|abramoviche@ims.gov.il|השירות המטאורולוגי|other-open|Other (Open)|את שינוי האקלים שהתרחשו עד כה יש לבחון באמצעות סדרות נתוני מדידה ארוכות ככל שניתן,אולם סדרות ארוכות אלו מכילות בתוכן גם שינויים מלאכותיים שאינם חלק מתנודות האקליםהטבעיות. שינויים אלו עשויים לנבוע ממגוון גורמים כגון הזזת הסוכה המטאורולוגית, החלפת ציודהמדידה, שינויים שחלו בסביבת התחנה ועוד. נטרול/מזעור השפעות אלו הינו תנאי הכרחי לבחינתמגמות האקלים והימנעות ממסקנות שגויות בדמות שינוי אקלימי מלאכותי. לטובת איתורהשפעות מלאכותיות ותיקונן, יושם בשירות המטאורולוגי  תהליך הנקרא "הומוגניזציה",המשלב שיטות סטטיסטיות מתקדמות. מטרתו של תהליך זה היא להתאים סדרות הנתוניםלשינויים שחלו בתנאי המדידה לאורך הזמן.
586|0|metavhim|dataset|2022-09-07|מאגר מתווכים פעילים|ministry_of_justice|No|Day|3|2|--|yehudakat@justice.gov.il|משרד המשפטים|||מאגר מידע זה מכיל שני קבצי מידע אודות מתווכים:  רשימת מתווכים בעלי תעודת מורשה לעיסוק כמתווך , רשימת בחינות מתווכים לפי מועד וציון.המאגר מתעדכן כל שלושה חודשים.
587|0|metrofan|dataset|2021-10-13|מטרופן|ministry_of_transport|Yes|NotConstant|4|10|--|pinusi@mot.gov.il|משרד התחבורה והבטיחות בדרכים|other-open|Other (Open)|תכנית אב שמטרתה התווית רשת שבילי אופניים בגלעין המטרופוליני חיפה, הקריות, נשר וטירת הכרמל
588|0|metro_line|dataset|2021-06-07|קווי מטרו|ministry_of_transport|Yes|NotConstant|4|7|--|pinusi@mot.gov.il|משרד התחבורה והבטיחות בדרכים|cc-by|Creative Commons Attribution|קווי מטרו מתוכננים במטרופולין תל אביב
589|0|metronit|dataset|2021-06-07|מטרונית|ministry_of_transport|Yes|NotConstant|4|6|--|pinusi@mot.gov.il|משרד התחבורה והבטיחות בדרכים|other-open|Other (Open)|קווי מטרונית קיימים, בביצוע ומתוכננים
590|0|metro_stat|dataset|2021-12-28|תחנות מטרו|ministry_of_transport|Yes|NotConstant|4|6|--|pinusi@mot.gov.il|משרד התחבורה והבטיחות בדרכים|cc-by|Creative Commons Attribution|תחנות מטרו מתוכננות במטרופולין תל אביב
591|0|mevakshimpatents|dataset|2022-09-07|מבקשים לבקשות פטנט|ministry_of_justice|No|Day|2|1|--|yehudakat@justice.gov.il|משרד המשפטים|other-open|אחר (פתוח)|שמות מבקשים לבקשות להגנה ישראלית על פטנט
592|0|mfaamanot|dataset|2022-01-23|אמנות משרד החוץ|ministry_of_exterior|No|NA|1|1|--|illan@mfa.gov.il|משרד החוץ|other-open|Other (Open)|רשימת האמנות וההסכמים הבי-לטרליים שישראל צד להן, משנת 1948 ואילך .בקובצי האמנות וההסכמים עצמון ניתן לצפות באתר משרד החוץ - מאגר אמנות https://www.gov.il/he/Departments/dynamiccollectors/mfa-accords
593|0|mfa_un|dataset|2021-01-17|החלטות האומות המאוחדות|ministry_of_exterior|No|Month|2|1|--|illan@mfa.gov.il|משרד החוץ|other-open|Other (Open)|אופן הצבעת המדינות השונות בהחלטות האום
594|0|mgl|dataset|2020-07-09|תצלום אויר 2015 2 מטר - גליון מרום גולן|israel_mapping_center|No|NA|1|0|--|yaron@mapi.gov.il|המרכז למיפוי ישראל|||1.תאריך עדכון: 01/11/17 2.השימוש בנתונים באחריות המשתמש בלבד.3.הנתונים מתעדכנים מעת לעת, ולכן בדיקת עדכניותם היא באחריות המשתמש.
595|0|mhamad-hahisha|dataset|2022-01-05|קול קורא - מעמד האישה|socialequality|No|NA|1|7|--|andreib@mse.gov.il|המשרד לשוויון חברתי|other-open|Other (Open)|נתוני רשויות שהגישו קול קורא ונתוני פעילויות הנבחרות
596|0|miflas2012|dataset|2020-07-09|מפל"ס 2012|ministry_of_the_environment|No|NA|3|6|--|pniot@sviva.gov.il|המשרד להגנת הסביבה|||המפל"ס הוא מרשם הפליטות והעברות לסביבה של מפעלים. באמצעות השכבה הגיאוגרפית ניתן לראות נתונים על פליטת חומרים מזהמים לסביבה, על הזרמת שפכים ממפעלים למתקני טיהור שפכים ועל העברות של פסולת לטיפול או לסילוק. הנתונים המפורסמים לציבור הם נתונים שהמפעלים עצמם דיווחו למשרד להגנת הסביבה, מכוח חוק הגנת הסביבה (פליטות והעברות לסביבה – חובות דיווח ומרשם), התשע"ב – 2012 ("חוק הגנת הסביבה").
597|0|miflas2013|dataset|2020-07-09|מפל"ס 2013|ministry_of_the_environment|No|NA|3|6|--|pniot@sviva.gov.il|המשרד להגנת הסביבה|||המפל"ס הוא מרשם הפליטות והעברות לסביבה של מפעלים. באמצעות השכבה הגיאוגרפית ניתן לראות נתונים על פליטת חומרים מזהמים לסביבה, על הזרמת שפכים ממפעלים למתקני טיהור שפכים ועל העברות של פסולת לטיפול או לסילוק. הנתונים המפורסמים לציבור הם נתונים שהמפעלים עצמם דיווחו למשרד להגנת הסביבה, מכוח חוק הגנת הסביבה (פליטות והעברות לסביבה – חובות דיווח ומרשם), התשע"ב – 2012 ("חוק הגנת הסביבה").
598|0|miflas2014|dataset|2020-07-09|מפל"ס 2014|ministry_of_the_environment|No|NA|3|6|--|pniot@sviva.gov.il|המשרד להגנת הסביבה|||המפל"ס הוא מרשם הפליטות והעברות לסביבה של מפעלים. באמצעות השכבה הגיאוגרפית ניתן לראות נתונים על פליטת חומרים מזהמים לסביבה, על הזרמת שפכים ממפעלים למתקני טיהור שפכים ועל העברות של פסולת לטיפול או לסילוק. הנתונים המפורסמים לציבור הם נתונים שהמפעלים עצמם דיווחו למשרד להגנת הסביבה, מכוח חוק הגנת הסביבה (פליטות והעברות לסביבה – חובות דיווח ומרשם), התשע"ב – 2012 ("חוק הגנת הסביבה").
599|0|miflas2015|dataset|2020-07-09|מפל"ס 2015|ministry_of_the_environment|No|NA|3|0|--|alexey@sviva.gov.il|המשרד להגנת הסביבה|||המפל"ס הוא מרשם הפליטות והעברות לסביבה של מפעלים. באמצעות השכבה הגיאוגרפית ניתן לראות נתונים על פליטת חומרים מזהמים לסביבה, על הזרמת שפכים ממפעלים למתקני טיהור שפכים ועל העברות של פסולת לטיפול או לסילוק. הנתונים המפורסמים לציבור הם נתונים שהמפעלים עצמם דיווחו למשרד להגנת הסביבה, מכוח חוק הגנת הסביבה (פליטות והעברות לסביבה – חובות דיווח ומרשם), התשע"ב – 2012 ("חוק הגנת הסביבה").
600|0|miflas2016|dataset|2020-07-09|מפל"ס 2016|ministry_of_the_environment|No|NA|3|0|--|alexey@sviva.gov.il|המשרד להגנת הסביבה|||המפל"ס הוא מרשם הפליטות והעברות לסביבה של מפעלים. באמצעות השכבה הגיאוגרפית ניתן לראות נתונים על פליטת חומרים מזהמים לסביבה, על הזרמת שפכים ממפעלים למתקני טיהור שפכים ועל העברות של פסולת לטיפול או לסילוק. הנתונים המפורסמים לציבור הם נתונים שהמפעלים עצמם דיווחו למשרד להגנת הסביבה, מכוח חוק הגנת הסביבה (פליטות והעברות לסביבה – חובות דיווח ומרשם), התשע"ב – 2012 ("חוק הגנת הסביבה").
601|0|miflas2017|dataset|2020-06-11|מפל"ס 2017|ministry_of_the_environment|No|NA|4|7|--||המשרד להגנת הסביבה|cc-by|Creative Commons Attribution|המפל"ס הוא מרשם הפליטות והעברות לסביבה של מפעלים. באמצעות השכבה הגיאוגרפית ניתן לראות נתונים על פליטת חומרים מזהמים לסביבה, על הזרמת שפכים ממפעלים למתקני טיהור שפכים ועל העברות של פסולת לטיפול או לסילוק. הנתונים המפורסמים לציבור הם נתונים שהמפעלים עצמם דיווחו למשרד להגנת הסביבה, מכוח חוק הגנת הסביבה (פליטות והעברות לסביבה – חובות דיווח ומרשם), התשע"ב – 2012 ("חוק הגנת הסביבה").
602|0|mile_post|dataset|2021-06-07|אבני קילומטר|ministry_of_transport|No|NA|4|5|--|pinusi@mot.gov.il|משרד התחבורה והבטיחות בדרכים|cc-by|Creative Commons Attribution|ציון דרך לסימון מרחק לאורך הכבישים
603|0|mimshakim_2023|dataset|2021-03-07|ממשקים אגף תכנון 2023|ministry_of_transport|No|NA|4|6|--|pinusi@mot.gov.il|משרד התחבורה והבטיחות בדרכים|cc-by|Creative Commons Attribution|מקומות המעבר המועדפים, בין אמצעי תחבורה שונים, על ידי הנוסעים במטרופולין תל אביב - תכנון לשנת 2023
604|0|mimshakim_2030|dataset|2021-03-07|ממשקים אגף תכנון 2030|ministry_of_transport|No|NA|4|5|--|pinusi@mot.gov.il|משרד התחבורה והבטיחות בדרכים|cc-by|Creative Commons Attribution|מקומות המעבר המועדפים, בין אמצעי תחבורה שונים, על ידי הנוסעים במטרופולין תל אביב - תכנון לשנת 2030
605|0|misgadim|dataset|2021-08-26|רשימת מסגדים|interior_affairs|No|NA|1|3|--|drored@moin.gov.il|משרד הפנים|||פירוט רשימת מסגדים ממוינת לפי יישוב
606|0|mishmoret|dataset|2022-09-07|מאגר החלטות בתי הדין למשמורת|ministry_of_justice|No|Day|1|2|--|yehudakat@justice.gov.il|משרד המשפטים|cc-by|Creative Commons Attribution|המאגר מכיל את החלטות בתי הדין למשמורת
